物件名,カテゴリー,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積,23区,都市名,路線,最寄駅,徒歩
プチ・ボヌール,賃貸アパート,4,2,2,148000.0,5000.0,148000.0,148000.0,42DK,48.87,大田区,南蒲田３,京急空港線,糀谷駅,7
Ｃａｓａ荒川　ｐａｒｔ３,賃貸アパート,8,3,1,88000.0,3000.0,0.0,88000.0,1SK,31.65,荒川区,荒川１,東京メトロ千代田線,町屋駅,14
コンフォリア町屋,賃貸マンション,16,11,2,121000.0,7000.0,121000.0,0.0,1LDK,39.0,荒川区,荒川５,東京メトロ千代田線,町屋駅,8
コンフォリア町屋,賃貸マンション,16,11,5,122000.0,7000.0,122000.0,0.0,1LDK,39.0,荒川区,荒川５,東京メトロ千代田線,町屋駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,2,131000.0,10000.0,131000.0,131000.0,1LDK,42.32,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,2,132000.0,10000.0,132000.0,132000.0,1LDK,42.93,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,2,132000.0,10000.0,132000.0,132000.0,1LDK,42.32,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,4,133000.0,10000.0,133000.0,133000.0,1LDK,42.32,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,4,134000.0,10000.0,134000.0,134000.0,1LDK,42.93,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,5,134000.0,10000.0,134000.0,134000.0,1LDK,42.32,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,3,164000.0,10000.0,164000.0,164000.0,2LDK,53.8,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,5,166000.0,10000.0,166000.0,166000.0,2LDK,53.8,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
ＭＡＩＳＯＮ．Ｏ．,賃貸マンション,0,6,6,168000.0,10000.0,168000.0,168000.0,2SLDK,53.8,荒川区,南千住１,東京メトロ日比谷線,三ノ輪駅,8
MOK,賃貸マンション,5,5,2,81000.0,12000.0,0.0,0.0,1K,27.43,荒川区,町屋６,東京メトロ千代田線,町屋駅,10
MOK,賃貸マンション,5,5,5,99000.0,12000.0,0.0,0.0,ワンルーム,26.03,荒川区,町屋６,東京メトロ千代田線,町屋駅,10
MOK,賃貸マンション,5,5,2,115000.0,12000.0,115000.0,115000.0,1LDK,40.01,荒川区,町屋６,東京メトロ千代田線,町屋駅,10
MOK,賃貸マンション,5,5,3,116000.0,12000.0,116000.0,116000.0,1LDK,40.01,荒川区,町屋６,東京メトロ千代田線,町屋駅,10
ウイラニ　ホヌ,賃貸アパート,5,3,1,70000.0,3000.0,0.0,70000.0,1SK,30.85,葛飾区,堀切２,京成本線,堀切菖蒲園駅,8
日暮里サンライズマンション,賃貸マンション,27,8,2,85000.0,6000.0,0.0,85000.0,1DK,27.16,荒川区,東日暮里５,ＪＲ山手線,日暮里駅,4
日暮里サンライズマンション,賃貸マンション,27,8,6,90000.0,6000.0,0.0,90000.0,1LDK,31.14,荒川区,東日暮里５,ＪＲ山手線,日暮里駅,4
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,1,74000.0,4000.0,0.0,0.0,1K,18.01,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,1,75000.0,4000.0,0.0,0.0,1K,18.02,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,1,75000.0,4000.0,0.0,0.0,1K,18.02,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,1,75000.0,4000.0,0.0,0.0,1K,18.02,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,1,75000.0,4000.0,0.0,0.0,1K,18.02,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,1,75000.0,5000.0,0.0,0.0,1K,18.02,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,4,78000.0,4000.0,0.0,0.0,1K,18.01,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
東京メトロ日比谷線 三ノ輪駅 4階建 築4年,賃貸マンション,4,4,4,78000.0,4000.0,0.0,0.0,1K,18.01,荒川区,南千住２,東京メトロ日比谷線,三ノ輪駅,6
ラヴィエント南千住II,賃貸マンション,10,7,6,86000.0,8000.0,86000.0,86000.0,1K,25.05,荒川区,南千住５,ＪＲ常磐線,南千住駅,5
ラヴィエント南千住II,賃貸マンション,10,7,7,88000.0,8000.0,88000.0,88000.0,1K,25.05,荒川区,南千住５,ＪＲ常磐線,南千住駅,5
スタークレスト,賃貸マンション,28,12,4,125000.0,5800.0,0.0,62500.0,3LDK,66.67,足立区,東和５,東京メトロ千代田線,北綾瀬駅,6
スタークレスト,賃貸マンション,28,12,6,128000.0,5800.0,0.0,64000.0,3LDK,66.67,足立区,東和５,東京メトロ千代田線,北綾瀬駅,6
スタークレスト,賃貸マンション,28,12,6,128000.0,5800.0,0.0,64000.0,3LDK,66.67,足立区,東和５,東京メトロ千代田線,北綾瀬駅,6
スタークレスト,賃貸マンション,28,12,7,128000.0,5800.0,0.0,64000.0,3LDK,66.67,足立区,東和５,東京メトロ千代田線,北綾瀬駅,6
ティモーネ日暮里　イースト,賃貸マンション,7,8,4,76000.0,8000.0,76000.0,76000.0,ワンルーム,25.83,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪駅,8
ティモーネ日暮里　イースト,賃貸マンション,7,8,4,78000.0,8000.0,78000.0,78000.0,1K,25.92,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪駅,8
ティモーネ日暮里　イースト,賃貸マンション,7,8,4,78000.0,8000.0,78000.0,78000.0,ワンルーム,25.83,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪駅,8
ティモーネ日暮里　イースト,賃貸マンション,7,8,4,80000.0,8000.0,80000.0,80000.0,ワンルーム,25.83,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪駅,8
ティモーネ日暮里　イースト,賃貸マンション,7,8,5,84000.0,10000.0,0.0,84000.0,1K,25.92,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪駅,8
ティモーネ日暮里　イースト,賃貸マンション,7,8,5,89000.0,6000.0,89000.0,0.0,1K,25.92,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪駅,8
ティモーネ日暮里　イースト,賃貸マンション,7,8,7,140000.0,10000.0,140000.0,140000.0,2DK,43.98,荒川区,東日暮里２,東京メトロ日比谷線,三ノ輪駅,8
アシエント西葛西,賃貸マンション,27,6,3,111000.0,10000.0,111000.0,111000.0,2LDK,55.48,江戸川区,西葛西３,東京メトロ東西線,西葛西駅,8
アシエント西葛西,賃貸マンション,27,6,3,130000.0,10000.0,130000.0,195000.0,3LDK,67.03,江戸川区,西葛西３,東京メトロ東西線,西葛西駅,8
東京メトロ千代田線 町屋駅 5階建 新築,賃貸マンション,0,5,1,76000.0,6000.0,0.0,0.0,ワンルーム,22.39,荒川区,町屋２,東京メトロ千代田線,町屋駅,5
東京メトロ千代田線 町屋駅 5階建 新築,賃貸マンション,0,5,1,76000.0,6000.0,0.0,0.0,ワンルーム,22.39,荒川区,町屋２,東京メトロ千代田線,町屋駅,5
東京メトロ千代田線 町屋駅 5階建 新築,賃貸マンション,0,5,1,78000.0,6000.0,0.0,0.0,1K,21.07,荒川区,町屋２,東京メトロ千代田線,町屋駅,5
