物件名,カテゴリー,住所,最寄駅0,最寄駅1,最寄駅2,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,2階,8万円,10000円,-,-,1K,25.23m2
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,2階,8万円,10000円,-,-,1K,25.23m2
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,11階,8.45万円,10000円,-,-,1K,25.23m2
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,11階,8.45万円,10000円,-,-,1K,25.23m2
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,8階,13.2万円,10000円,-,13.2万円,2LDK,40.25m2
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,4階,15.4万円,10000円,15.4万円,15.4万円,2LDK,50.68m2
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,5階,15.45万円,10000円,15.45万円,15.45万円,2LDK,50.68m2
東京メトロ日比谷線 南千住駅 11階建 新築,賃貸マンション,東京都台東区清川２,東京メトロ日比谷線/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩10分,つくばエクスプレス/南千住駅 歩10分,新築,11階建,8階,16万円,10000円,16万円,16万円,2LDK,50.68m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,2階,8万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,2階,8万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,2階,8万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,2階,8万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,3階,8.05万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,3階,8.05万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,3階,8.05万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,3階,8.05万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,4階,8.1万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,4階,8.1万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,4階,8.1万円,10000円,-,-,1K,25.23m2
ガレリアレジデンス南千住,賃貸マンション,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩13分,都電荒川線/三ノ輪橋駅 歩17分,新築,11階建,5階,8.15万円,10000円,-,-,1K,25.23m2
